S/N,Name,Category,Outsourced (B),Walk in Patient (C),Hospital Patient (D)
446,PROCEDURE (EXCISSION BIOPSY),Anaesthetics/Anxiolytics/Emergency Drugs,"₦40,000.00","₦40,000.00","₦40,000.00"
447,EMAL INJECTION,Anaesthetics/Anxiolytics/Emergency Drugs,"₦7,000.00","₦7,000.00","₦7,000.00"
448,PENTAZOCIN INJECTION,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
449,PLASIL INJECTION,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
450,DICLOFENAC INJECTION,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
451,OMEPRAZOLE CAPS,Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,000.00","₦4,000.00","₦4,000.00"
452,CEFUROXIME TAB 500mg,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
453,CEFIXIME TAB 200mg,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
454,DICLOFENAC SUPP,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
455,OMEPRAZOLE INJECTION,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
456,ROSUVASTATINE 10mg,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
457,DICLOFENAC 100mg,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
458,DOXYCYCLINE CAP,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
459,AMOXYCYCLINE CAP 500mg,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
460,LONART TAB,Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,000.00","₦4,000.00","₦4,000.00"
461,TAMETHER SOFTGEL,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
462,BROMAZEPAM 3mg,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
463,METRONIDAZOL TAB 400mg,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
464,FLEMMING 625mg,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
465,AUGLOCEF 625mg,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
466,FOLIC ACID TABS,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
467,VITAMINE - C TAB,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
468,TABS VIT-BCO,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
469,PCM SYRUP,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
470,TUXIL-D ADULT SYRUP,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
471,FLU-J SYRUP,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
472,GESTID (SUSP) 200ml,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
473,VIT-C SYRUP,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
474,VOLTAREN 50mg,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
475,IVF 0.9% N/SALINE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,500.00","₦2,500.00","₦2,500.00"
476,IVF 5% D/SALINE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,500.00","₦2,500.00","₦2,500.00"
477,IV METRONIDAZOLE 500mg,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
478,ARTEMETHER INJECTION,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
479,CEFTRIAXONE 1G,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
480,ARTESUNATE INJ 60mg,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
481,ARTESUNATE INJ 120mg,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
482,VOLTAREN 12.5mg,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
483,COCODAMOL TAB 30/500mg,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
484,ROCEPHINE INJ 1G,Anaesthetics/Anxiolytics/Emergency Drugs,"₦12,000.00","₦12,000.00","₦12,000.00"
485,RUCLOX SUSP 200ml,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
486,PENTA 30mg,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
487,PCM INJ 300mg,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
488,TABS IBUPROFEN 400mg,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
489,SYRUP IBUPROFEN,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
490,CREPE      BANDAGES,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
491,PROCEDURE I & D,Anaesthetics/Anxiolytics/Emergency Drugs,"₦20,000.00","₦20,000.00","₦20,000.00"
492,IV CIPROFLOXACIN,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
493,HEP B VACCINE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,500.00","₦3,500.00","₦3,500.00"
494,TAB LEVOFLOXACIN 500MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
495,COCODAMOL,Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,000.00","₦4,000.00","₦4,000.00"
496,FLAGYL,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
497,I.V LEVO 500MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
498,TABS FLAGYL,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
499,CEFTRIAXONE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,000.00","₦4,000.00","₦4,000.00"
500,PROCEDURE (MVA),Anaesthetics/Anxiolytics/Emergency Drugs,"₦150,000.00","₦150,000.00","₦150,000.00"
501,PROCEDURES,Anaesthetics/Anxiolytics/Emergency Drugs,"₦30,000.00","₦30,000.00","₦30,000.00"
502,KLOVINAL VAGINAL PESSARIES,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
503,VIT BCO INJ,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
504,PCM (INJECTION),Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
505,DERMAZIN CREAM,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
506,INJ ROCEPHIN,Anaesthetics/Anxiolytics/Emergency Drugs,"₦15,000.00","₦15,000.00","₦15,000.00"
507,IV FLAYG 500MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
508,LONART,Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,000.00","₦4,000.00","₦4,000.00"
509,TAB METRO 400MG,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
510,TAB COCODAMOL 30/500mg / CARD,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
511,INJ OMEPRAZOLE 40MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
512,TABS COCODAMOL,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
513,IV CEFTRIAXONE 1G,Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,000.00","₦4,000.00","₦4,000.00"
514,INJ OMEPRAZOLE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
515,CAP LONART DS,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
516,SUSP ANTACID,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
517,INJ CEFTRIAXONE 1G,Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,000.00","₦4,000.00","₦4,000.00"
518,INJ EMAL,Anaesthetics/Anxiolytics/Emergency Drugs,"₦7,000.00","₦7,000.00","₦7,000.00"
519,OBSERVATION,Anaesthetics/Anxiolytics/Emergency Drugs,"₦10,000.00","₦10,000.00","₦10,000.00"
520,SYRUP VIT C,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
521,SUSPP DICLOFENAC,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
522,TAB CELEBREX 200MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦10,000.00","₦10,000.00","₦10,000.00"
523,TAB ACYCLOVIR 200MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦10,000.00","₦10,000.00","₦10,000.00"
524,SUSP ASCOREX 10ML,Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,000.00","₦4,000.00","₦4,000.00"
525,LORATIDINE 10MG/CARD,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
526,TAB FLAGY 500MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
527,TABS FESOLATE,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
528,AZITHROMYCIN 500MG /CARD,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
529,TAB DICLOFENAC 50MG/CARD,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
530,INJ ROCEPHIN 1G,Anaesthetics/Anxiolytics/Emergency Drugs,"₦15,000.00","₦15,000.00","₦15,000.00"
531,FLUCAMED X10,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
532,FLUCAMED PER CAPS,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
533,GENTAMYCIN,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
534,INJ CEFTRIAXONE 1.2G,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
535,TABS FESOLATE 200MG,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
536,TABS CEFUROXIME 500MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
537,ARTESUNATE INJ 120MG OUTSIDE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦10,000.00","₦10,000.00","₦10,000.00"
538,IV F N/SALINE 0.9% 5OOML,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
539,NEBULIZATION PER TIME,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
540,OXYGEN ADMINISTRATION PER TIME,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
541,ADMISSION/ DAY,Anaesthetics/Anxiolytics/Emergency Drugs,"₦20,000.00","₦20,000.00","₦20,000.00"
542,TABS CEFUROXIME,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
543,SUSP LONART,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
544,TAB DICLOFENAC,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
545,CAP LISINOPRIL 10MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦9,000.00","₦9,000.00","₦9,000.00"
546,PENTAZOCINE 30MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
547,IV ROCEPHIN 1G,Anaesthetics/Anxiolytics/Emergency Drugs,"₦15,000.00","₦15,000.00","₦15,000.00"
548,BROMAZEPAM 3MG PER CAP,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
549,TAB COCODAMOL 30/500MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
550,CONSULT,Anaesthetics/Anxiolytics/Emergency Drugs,"₦15,000.00","₦15,000.00","₦15,000.00"
551,HPV 2,Anaesthetics/Anxiolytics/Emergency Drugs,"₦40,000.00","₦40,000.00","₦40,000.00"
552,PCM INJ 300MG/2ML,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
553,IV METRONIDAZOLE  100ML,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
554,TAB CIPROFLOXATINE 500MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
555,SUSP MAGSIL 200ML,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
556,SUSP EXPECTORANT 100ML,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
557,COUGH SYRUP ADULT,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
558,VIT C SYRUP,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
559,EMZOLYN EXPECTORANT,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
560,RULOX SUSP 200ML,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
561,ARTESUNATE INJ 60ML,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
562,EMAL INJ 150ML,Anaesthetics/Anxiolytics/Emergency Drugs,"₦8,000.00","₦8,000.00","₦8,000.00"
563,TAB PCM 1G,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
564,DOXYCYCLINE 100MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
565,TAB METRONE 400MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
566,IV CEFTRIAXONE 1.2G,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
567,IVF N/SALINE 500ML,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
568,MEPRASIL 20MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
569,TRIAXIN CEFTRIAXONE 1G,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
570,TAB CEFIXIME 400MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
571,AZITHROMYCIN 500MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
572,INJ ARTEMETHER 80/48MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
573,IV CIPROFLOXACIN 200MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
574,OMEPRAZOLE INJ 40MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
575,VIT B COMPLEX,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
576,TAB GESTID,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
577,HYDROCORT INJ 100MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
578,TUXIL-D SUSP ADULT,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
579,TUXIL-D SUSP CHILDREN,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
580,VIT B COMPLEX INJ 100MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
581,TAB VITMIN C 100MG,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
582,TAB PIRITON 4MG,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
583,ARTESUNATE INJECTION  120MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
584,TAB FLUCONAZOLE 50MG,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
585,SUSP PCM 120MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
586,COATAL SOFTGEL,Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,000.00","₦4,000.00","₦4,000.00"
587,CEFUROXIME,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
588,SYRUP VITAMI C,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
589,THEATRE USE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦30,000.00","₦30,000.00","₦30,000.00"
590,INJECTION EMAL 150MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦10,000.00","₦10,000.00","₦10,000.00"
591,ACT TAB 150MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦10,000.00","₦10,000.00","₦10,000.00"
592,HOME SERVICE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦20,000.00","₦20,000.00","₦20,000.00"
593,TAB OMEPRAZOLE 20MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,000.00","₦4,000.00","₦4,000.00"
594,INJ ARTESUNATE 120MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
595,I.V CEFTRIAXON 1G,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
596,IV ROCEPHIN 1G HOME SERVICE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦20,000.00","₦20,000.00","₦20,000.00"
597,COUGH SYRUP,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
598,IVF D/ SALINE 5%,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,500.00","₦3,500.00","₦3,500.00"
599,ARTESUNATE 120MG INJ,Anaesthetics/Anxiolytics/Emergency Drugs,"₦6,000.00","₦6,000.00","₦6,000.00"
600,IVF RINGERS LACTATE 500ML,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
601,CONSUMABLES INJ,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
602,INJECTION CEFTRIAXONE 1G,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
603,I.V FLUID,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
604,IV FLUID N/SALINE 500MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
605,INJECTION ROCEPHIN 1.2G,Anaesthetics/Anxiolytics/Emergency Drugs,"₦20,000.00","₦20,000.00","₦20,000.00"
606,TAB AMATEM SOFTGEL,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
607,TABS CEFIXIME 400MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦9,000.00","₦9,000.00","₦9,000.00"
608,IVF RINGERS,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
609,CEFIXIME 400MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦8,000.00","₦8,000.00","₦8,000.00"
610,PROCDDURE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦30,000.00","₦30,000.00","₦30,000.00"
611,PROCEDURE MVA,Anaesthetics/Anxiolytics/Emergency Drugs,"₦50,000.00","₦50,000.00","₦50,000.00"
612,CEFIXIME,Anaesthetics/Anxiolytics/Emergency Drugs,"₦9,000.00","₦9,000.00","₦9,000.00"
613,CELEBREX 200MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦9,000.00","₦9,000.00","₦9,000.00"
614,IV FLUID 500ML,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
615,THEATRE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦200,000.00","₦200,000.00","₦200,000.00"
616,CAP CEFUROXIME 500MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦8,000.00","₦8,000.00","₦8,000.00"
617,ARTESUNATE 120MG INJECTION,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
618,INJ CEFTRIAXONE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
619,FESOLATE 200MG,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
620,I.V METRO 500MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
621,IVF DEXTROSE/ SALINE 500ML,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
622,INJ METRONIDAZOLE 500MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
623,INJ ARTESUNATE 60MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
624,EMAL 150MG IM,Anaesthetics/Anxiolytics/Emergency Drugs,"₦8,000.00","₦8,000.00","₦8,000.00"
625,PCM 300MG INJ,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
626,GENTAMYCIN 80MG INJ,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
627,INJ DICLOFENAC 75MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
628,IVFLUID N/SALINE 0.9%,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
629,INJ PENTAZOCINE 30MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
630,COCODAMOL 30/500MG CARD,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
631,TAB AMLODIPINE 10MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,000.00","₦4,000.00","₦4,000.00"
632,CEFTRIAXONE 1G INJ,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
633,INJ GENTAMYCIN 80MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
634,I.V CIPROFLOXACIN 200MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
635,I.V ARTESUNATE 120MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
636,CAP CEFIXIME 400MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
637,IM ARETHEMETER 80/480MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
638,GENTAMYCIN 80MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
639,PCM 300MG  INJ,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
640,KLOVINAL PESARIES,Anaesthetics/Anxiolytics/Emergency Drugs,"₦8,000.00","₦8,000.00","₦8,000.00"
641,TABS DICLOFENAC 50MG,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
642,TAB CEFIXIME 200MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
643,INJ BCOMPLEX,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
644,IV METRO 500MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
645,WOUND DRESS,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
646,IV AMOXYL 1200MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
647,I.M EMAL 150MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦10,000.00","₦10,000.00","₦10,000.00"
1,ACETYLSALIC ACID 300MG TABS,"Analgesics, Antipyretics And Non-Steroidal Anti-Inflamatory Drugs",N/A,N/A,N/A
2,ACETYLSALIC ACID 75MG TABS,"Analgesics, Antipyretics And Non-Steroidal Anti-Inflamatory Drugs",N/A,N/A,N/A
3,ARTHOCARE FORTE TAB,"Analgesics, Antipyretics And Non-Steroidal Anti-Inflamatory Drugs",N/A,N/A,N/A
4,CELEBREX,"Analgesics, Antipyretics And Non-Steroidal Anti-Inflamatory Drugs",N/A,N/A,N/A
5,CELECOXIB 100MG,"Analgesics, Antipyretics And Non-Steroidal Anti-Inflamatory Drugs",N/A,N/A,N/A
6,CELECOXIB 200MG,"Analgesics, Antipyretics And Non-Steroidal Anti-Inflamatory Drugs",N/A,N/A,N/A
7,CHYMORAL TABS,"Analgesics, Antipyretics And Non-Steroidal Anti-Inflamatory Drugs",N/A,N/A,N/A
8,DEEP FREEZE SPRAY,"Analgesics, Antipyretics And Non-Steroidal Anti-Inflamatory Drugs",N/A,N/A,N/A
9,DEEP HEAT CREAM,"Analgesics, Antipyretics And Non-Steroidal Anti-Inflamatory Drugs",N/A,"₦1,150.00",N/A
